时间	开盘	最高	最低	收盘	涨跌	涨幅%	振幅%	总手(万)	金额(亿)	
1991-10-22,二	206.06	206.53	204.53	206.53	+2.00	0.98	0.978	152100	1521146	
1991-10-23,三	208.06	208.25	206.53	208.25	+1.72	0.83	0.833	198000	1980087	
1991-10-24,四	210.20	210.20	208.25	210.07	+1.82	0.87	0.936	1317400	13174235	
1991-10-25,五	210.34	211.97	209.71	211.86	+1.79	0.85	1.08	2226300	22263149	
1991-10-28,一	213.50	213.98	211.86	213.98	+2.12	1.00	1.00	235700	2357941	
1991-10-29,二	215.63	215.78	213.98	215.78	+1.80	0.84	0.841	206900	2069665	
1991-10-30,三	216.37	216.43	215.78	216.43	+0.65	0.30	0.301	181400	1814463	
1991-10-31,四	218.59	218.60	216.43	218.60	+2.17	1.00	1.00	291400	2914654	
1991-11-01,五	220.71	220.72	218.60	220.72	+2.12	0.97	0.970	431300	4313355	
1991-11-04,一	222.77	222.77	220.79	222.77	+2.05	0.93	0.897	335200	3352291	
1991-11-05,二	224.44	224.65	222.77	224.65	+1.88	0.84	0.844	222500	2225605	
1991-11-06,三	226.83	226.88	224.65	226.88	+2.23	0.99	0.993	218800	2188148	
1991-11-07,四	228.93	228.93	226.88	228.93	+2.05	0.90	0.904	408500	4085072	
1991-11-08,五	230.99	231.22	228.93	231.22	+2.29	1.00	1.00	1103900	11039106	
1991-11-11,一	233.48	233.55	231.22	233.55	+2.33	1.01	1.01	213000	2130826	
1991-11-12,二	235.75	235.80	233.55	235.80	+2.25	0.96	0.963	91400	914377	
1991-11-13,三	236.51	236.67	235.80	236.67	+0.87	0.37	0.369	87900	879975	
1991-11-14,四	237.39	237.45	236.67	237.45	+0.78	0.33	0.330	94000	940119	
1991-11-15,五	238.25	238.25	237.45	238.25	+0.80	0.34	0.337	191400	1914795	
1991-11-18,一	240.04	240.62	238.25	240.62	+2.37	0.99	0.995	153400	1534361	
1991-11-19,二	242.24	242.24	240.62	242.24	+1.62	0.67	0.673	204000	2040941	
1991-11-20,三	244.50	244.50	242.24	244.50	+2.26	0.93	0.933	192900	1929087	
1991-11-21,四	246.26	246.31	244.50	246.31	+1.81	0.74	0.740	203000	2030500	
1991-11-22,五	248.24	248.53	246.31	248.53	+2.22	0.90	0.901	195400	1954544	
1991-11-25,一	250.84	250.85	248.53	250.85	+2.32	0.93	0.933	196300	1963992	
1991-11-26,二	252.90	252.97	250.85	252.97	+2.12	0.85	0.845	232600	2326565	
1991-11-27,三	255.27	255.45	252.97	255.45	+2.48	0.98	0.980	175600	1756893	
1991-11-28,四	257.27	257.35	255.45	257.35	+1.90	0.74	0.744	225100	2251847	
1991-11-29,五	259.68	259.85	257.35	259.60	+2.25	0.87	0.971	2845300	28453937	
1991-12-02,一	261.77	262.19	259.67	262.19	+2.59	1.00	0.971	1631000	16310190	
1991-12-03,二	264.64	264.81	262.19	264.81	+2.62	1.00	0.999	120700	1207594	
1991-12-04,三	265.52	265.77	264.81	265.77	+0.96	0.36	0.363	90300	903324	
1991-12-05,四	266.48	266.66	265.77	266.66	+0.89	0.33	0.335	210000	2100256	
1991-12-06,五	269.33	269.35	266.66	269.35	+2.69	1.01	1.01	179800	1798852	
1991-12-09,一	270.27	270.27	269.35	270.27	+0.92	0.34	0.342	164800	1648764	
1991-12-10,二	270.27	272.91	270.27	272.91	+2.64	0.98	0.977	66500	665483	
1991-12-11,三	273.52	273.70	272.91	273.70	+0.79	0.29	0.289	85900	859049	
1991-12-12,四	274.41	274.41	273.70	274.41	+0.71	0.26	0.259	164400	1644190	
1991-12-13,五	276.81	277.00	274.41	277.00	+2.59	0.94	0.944	96200	962311	
1991-12-16,一	277.52	277.85	277.00	277.85	+0.85	0.31	0.307	81700	817004	
1991-12-17,二	278.67	278.68	277.85	278.68	+0.83	0.30	0.299	75400	754992	
1991-12-18,三	279.32	279.51	278.68	279.51	+0.83	0.30	0.298	89300	893281	
