时间	开盘	最高	最低	收盘	涨跌	涨幅%	振幅%	总手(万)	金额(亿)	
2000-05-29,一	1885.55	1900.67	1882.74	1898.75	+19.13	1.02	0.954	1804425500	18860832000	
2000-05-30,二	1903.53	1908.31	1868.61	1877.47	-21.28	-1.12	2.09	1651899800	16860800000	
2000-05-31,三	1875.46	1894.58	1869.34	1894.55	+17.08	0.91	1.34	1576923000	16247708000	
2000-06-01,四	1900.53	1906.82	1889.99	1903.49	+8.94	0.47	0.888	1465458200	15427005000	
2000-06-02,五	1906.16	1916.25	1897.71	1916.25	+12.76	0.67	0.974	1784035100	17480910000	
2000-06-05,一	1921.97	1930.34	1889.82	1899.09	-17.16	-0.90	2.11	2921753400	21494090000	
2000-06-06,二	1898.59	1925.55	1891.67	1925.54	+26.45	1.39	1.78	1719005100	16217410000	
2000-06-07,三	1934.38	1940.22	1921.38	1935.03	+9.49	0.49	0.978	1557941700	15843602000	
2000-06-08,四	1937.19	1938.55	1913.37	1925.21	-9.82	-0.51	1.30	1632980400	15226676000	
2000-06-09,五	1926.15	1929.95	1896.06	1900.79	-24.42	-1.27	1.76	1493337000	14353959000	
2000-06-12,一	1896.43	1912.59	1884.62	1912.56	+11.77	0.62	1.47	1204009400	12487747400	
2000-06-13,二	1918.19	1938.67	1917.19	1938.67	+26.11	1.37	1.12	1442765200	13872238000	
2000-06-14,三	1944.44	1949.17	1929.71	1932.29	-6.38	-0.33	1.00	1615631700	15923456000	
2000-06-15,四	1933.06	1942.33	1925.91	1942.29	+10.00	0.52	0.850	1411676000	14026909000	
2000-06-16,五	1945.70	1947.46	1919.40	1926.94	-15.35	-0.79	1.44	1470755200	14588988000	
2000-06-19,一	1924.69	1926.98	1910.47	1915.20	-11.74	-0.61	0.857	1188112500	12038242000	
2000-06-20,二	1913.07	1913.07	1888.08	1895.35	-19.85	-1.04	1.30	1013609500	9752541900	
2000-06-21,三	1894.78	1913.15	1894.63	1913.13	+17.78	0.94	0.977	834891100	8754411900	
2000-06-22,四	1918.16	1921.15	1906.30	1913.90	+0.77	0.04	0.776	905959100	9545648500	
2000-06-23,五	1915.31	1939.63	1913.65	1939.63	+25.73	1.34	1.36	1199891700	12747644400	
2000-06-26,一	1946.70	1953.34	1943.25	1948.64	+9.01	0.46	0.520	1406804500	14136452000	
2000-06-27,二	1949.78	1952.45	1938.14	1942.90	-5.74	-0.29	0.734	1198004600	11628690600	
2000-06-28,三	1943.98	1953.06	1940.05	1947.48	+4.58	0.24	0.670	1123954000	12112091700	
2000-06-29,四	1949.85	1951.13	1924.47	1937.26	-10.22	-0.52	1.37	1191984200	12264637800	
2000-06-30,五	1937.84	1941.40	1924.97	1928.11	-9.15	-0.47	0.848	1246757900	12624403800	
2000-07-03,一	1917.44	1917.45	1890.53	1895.64	-32.47	-1.68	1.40	1578473500	11983824300	
2000-07-04,二	1891.20	1907.94	1888.25	1907.93	+12.29	0.65	1.04	1440781900	8581330900	
2000-07-05,三	1910.42	1918.91	1904.47	1909.19	+1.26	0.07	0.757	1302943500	8073743300	
2000-07-06,四	1909.24	1910.05	1896.66	1902.55	-6.64	-0.35	0.701	993114100	8824960200	
2000-07-07,五	1904.09	1932.83	1904.09	1932.79	+30.24	1.59	1.51	1168290400	10742165400	
2000-07-10,一	1938.84	1948.06	1932.95	1948.02	+15.23	0.79	0.782	1452462600	14072031000	
2000-07-11,二	1952.26	1960.60	1947.67	1960.54	+12.52	0.64	0.664	1443839100	14391813000	
2000-07-12,三	1965.23	1974.41	1960.35	1973.37	+12.83	0.65	0.717	1391952400	14906316000	
2000-07-13,四	1978.55	1984.07	1963.55	1979.20	+5.83	0.30	1.04	1816211300	19350098000	
2000-07-14,五	1981.78	1987.22	1972.62	1987.19	+7.99	0.40	0.738	1621585900	16334687000	
2000-07-17,一	1992.89	1997.94	1980.22	1982.48	-4.71	-0.24	0.892	1584549400	15661437000	
2000-07-18,二	1982.50	1993.99	1981.74	1993.99	+11.51	0.58	0.618	1756322800	11080578700	
2000-07-19,三	2000.33	2004.46	1987.42	1998.43	+4.44	0.22	0.855	2914798200	12685114000	
2000-07-20,四	1999.09	2003.80	1979.88	1991.56	-6.87	-0.34	1.20	1737112000	12997399500	
2000-07-21,五	1994.42	1998.35	1991.84	1996.34	+4.78	0.24	0.327	1173260300	10809192500	
2000-07-24,一	1998.24	1999.90	1982.88	1989.24	-7.10	-0.36	0.853	1189867500	11390178800	
2000-07-25,二	1990.15	1997.85	1989.09	1996.58	+7.34	0.37	0.440	1127378800	11050167900	
2000-07-26,三	1999.44	2012.40	1999.40	2012.32	+15.74	0.79	0.651	1518331400	11679823600	
2000-07-27,四	2017.46	2025.00	2004.55	2012.35	+0.03	0.00	1.02	1739814900	14663281000	
2000-07-28,五	2014.11	2016.94	2006.17	2012.79	+0.44	0.02	0.535	1495256600	13327394000	
2000-07-31,一	2016.14	2023.57	2008.64	2023.54	+10.75	0.53	0.742	1717420100	15328029000	
2000-08-01,二	2027.01	2031.93	2023.45	2028.15	+4.61	0.23	0.419	2118915300	11273846700	
2000-08-02,三	2030.79	2033.19	2018.48	2030.68	+2.53	0.12	0.725	2390531500	11096046300	
2000-08-03,四	2032.94	2038.65	2030.10	2036.30	+5.62	0.28	0.421	1832162000	13159629100	
2000-08-04,五	2037.47	2041.28	2013.45	2026.36	-9.94	-0.49	1.37	1959732400	14517949000	
2000-08-07,一	2025.18	2039.42	2017.90	2039.42	+13.06	0.64	1.06	1371761200	13194100100	
2000-08-08,二	2042.74	2050.07	2040.78	2049.92	+10.50	0.51	0.456	1375099800	13489696000	
2000-08-09,三	2051.65	2061.28	2048.48	2061.17	+11.25	0.55	0.624	1635126600	15774777000	
2000-08-10,四	2065.30	2067.73	2053.86	2065.94	+4.77	0.23	0.673	1737958400	17966576000	
2000-08-11,五	2067.78	2070.30	2055.19	2062.67	-3.27	-0.16	0.731	1531396000	15406527000	
2000-08-14,一	2065.92	2076.33	2065.92	2076.30	+13.63	0.66	0.505	1517170800	13785725000	
2000-08-15,二	2079.07	2082.73	2066.16	2076.82	+0.52	0.03	0.798	1347977700	12776113900	
2000-08-16,三	2078.48	2083.46	2072.98	2083.46	+6.64	0.32	0.505	1542080200	13458292000	
2000-08-17,四	2086.81	2092.33	2086.56	2091.59	+8.13	0.39	0.277	1393151700	13776078000	
2000-08-18,五	2093.63	2097.32	2086.75	2090.17	-1.42	-0.07	0.505	1256733800	12914594400	
2000-08-21,一	2095.38	2108.88	2093.42	2108.69	+18.52	0.89	0.740	1586290200	16485780000	
2000-08-22,二	2112.02	2114.52	2074.52	2074.69	-34.00	-1.61	1.90	1605574000	15718825000	
2000-08-23,三	2064.05	2080.14	1980.35	2057.92	-16.77	-0.81	4.81	2639883800	23007105000	
2000-08-24,四	2058.53	2073.94	2043.21	2071.16	+13.24	0.64	1.49	1725251700	17062325000	
2000-08-25,五	2073.71	2086.71	2066.33	2086.69	+15.53	0.75	0.984	1229067400	13463882000	
2000-08-28,一	2092.12	2100.69	2085.60	2100.59	+13.90	0.67	0.723	1383837400	14500828000	
2000-08-29,二	2103.03	2105.63	2094.61	2105.48	+4.89	0.23	0.525	1452279900	13338550000	
2000-08-30,三	2107.02	2108.10	2075.16	2076.14	-29.34	-1.39	1.56	1338050700	13796935000	
2000-08-31,四	2062.84	2064.76	2019.45	2021.20	-54.94	-2.65	2.18	1611525500	13998246000	
2000-09-01,五	2009.15	2026.35	1997.72	1999.86	-21.34	-1.06	1.42	1279768500	11909299000	
2000-09-04,一	1994.89	2010.60	1981.23	2010.60	+10.74	0.54	1.47	984028800	9573130800	
2000-09-05,二	2015.06	2020.85	1959.59	1963.79	-46.81	-2.33	3.05	985113200	8915757700	
2000-09-06,三	1955.50	1964.27	1923.60	1925.91	-37.88	-1.93	2.07	1101727200	8866106800	
2000-09-07,四	1929.30	1963.23	1929.30	1950.66	+24.75	1.29	1.76	846665100	7624529200	
2000-09-08,五	1955.15	1963.89	1945.92	1959.31	+8.65	0.44	0.921	722327000	7143496700	
2000-09-11,一	1963.27	1972.08	1956.08	1972.04	+12.73	0.65	0.817	735714500	7367591900	
2000-09-12,二	1975.41	1979.32	1965.40	1979.10	+7.06	0.36	0.706	668886300	6906092900	
2000-09-13,三	1980.53	1995.32	1975.13	1988.94	+9.84	0.50	1.02	889250300	7726368700	
2000-09-14,四	1989.97	1992.37	1973.02	1979.51	-9.43	-0.47	0.973	646758900	6510989100	
2000-09-15,五	1978.04	1978.47	1966.88	1978.43	-1.08	-0.05	0.585	633116100	6103325800	
2000-09-18,一	1979.53	1981.13	1946.18	1946.75	-31.68	-1.60	1.77	689254000	6380457700	
2000-09-19,二	1937.32	1937.37	1895.49	1903.15	-43.60	-2.24	2.15	919539800	7938020100	
2000-09-20,三	1902.91	1922.30	1892.28	1922.29	+19.14	1.01	1.58	704339600	6535647000	
2000-09-21,四	1924.83	1927.52	1905.65	1907.31	-14.98	-0.78	1.14	639455600	6417924900	
2000-09-22,五	1904.57	1904.57	1888.09	1891.98	-15.33	-0.80	0.864	668498700	6447665300	
2000-09-25,一	1889.90	1896.72	1874.21	1875.91	-16.07	-0.85	1.19	475995100	4674524200	
2000-09-26,二	1878.31	1890.67	1878.05	1887.83	+11.92	0.64	0.673	435837200	4629184900	
2000-09-27,三	1889.88	1914.11	1889.87	1914.09	+26.26	1.39	1.28	432715700	4291880200	
2000-09-28,四	1915.50	1917.06	1886.94	1889.29	-24.80	-1.30	1.57	505012100	5118582600	
2000-09-29,五	1888.20	1910.49	1888.07	1910.16	+20.87	1.10	1.19	468232500	5101305100	
2000-10-09,一	1912.08	1915.49	1897.24	1915.35	+5.19	0.27	0.955	517477700	5724802200	
2000-10-10,二	1917.90	1942.17	1917.68	1942.15	+26.80	1.40	1.28	667750700	7010874600	
2000-10-11,三	1944.25	1948.01	1931.46	1933.73	-8.42	-0.43	0.852	725572800	7663055500	
2000-10-12,四	1933.14	1933.33	1918.47	1926.32	-7.41	-0.38	0.768	723105500	7630467700	
2000-10-13,五	1927.35	1932.32	1911.36	1918.16	-8.16	-0.42	1.09	664491700	7331121300	
2000-10-16,一	1917.45	1917.56	1897.91	1902.81	-15.35	-0.80	1.02	608504100	6096268600	
2000-10-17,二	1902.07	1909.49	1896.94	1909.49	+6.68	0.35	0.660	417513600	4690517300	
2000-10-18,三	1911.70	1922.85	1911.70	1922.85	+13.36	0.70	0.584	575502600	7781997400	
2000-10-19,四	1925.21	1927.37	1911.18	1913.42	-9.43	-0.49	0.842	596505600	5938198700	
2000-10-20,五	1913.16	1947.47	1912.38	1947.45	+34.03	1.78	1.83	938767800	9689264200	
2000-10-23,一	1952.96	1960.86	1945.67	1958.94	+11.49	0.59	0.780	857797000	9638933900	
2000-10-24,二	1960.37	1962.13	1945.53	1956.34	-2.60	-0.13	0.847	635728600	7342628800	
2000-10-25,三	1957.38	1978.99	1957.31	1977.25	+20.91	1.07	1.11	1151205200	11408579700	
2000-10-26,四	1979.30	1980.63	1962.20	1967.67	-9.58	-0.48	0.932	1065955800	8684369300	
2000-10-27,五	1968.17	1971.79	1957.74	1967.41	-0.26	-0.01	0.714	903710900	7786520700	
2000-10-30,一	1967.65	1974.24	1962.81	1973.58	+6.17	0.31	0.581	999438800	9374286600	
2000-10-31,二	1974.53	1979.99	1956.42	1961.29	-12.29	-0.62	1.19	909242700	7911979200	
2000-11-01,三	1961.08	1977.37	1959.72	1977.36	+16.07	0.82	0.900	850194000	8196133200	
2000-11-02,四	1981.77	1992.86	1980.89	1984.26	+6.90	0.35	0.605	893385500	8841706300	
2000-11-03,五	1984.99	1989.11	1977.21	1981.63	-2.63	-0.13	0.600	932081500	7328831000	
2000-11-06,一	1983.07	1992.88	1982.75	1991.17	+9.54	0.48	0.511	999682100	8928639300	
2000-11-07,二	1993.45	1997.08	1990.06	1997.08	+5.91	0.30	0.353	789874500	7278831000	
2000-11-08,三	1999.15	2012.99	1998.35	2012.91	+15.83	0.79	0.733	925577900	8600386600	
2000-11-09,四	2016.22	2032.52	2014.84	2032.48	+19.57	0.97	0.878	1405530000	13103294800	
2000-11-10,五	2037.08	2051.34	2033.63	2047.46	+14.98	0.74	0.871	1396588700	15893170000	
2000-11-13,一	2054.48	2071.69	2053.44	2070.79	+23.33	1.14	0.891	1441077900	15478739000	
2000-11-14,二	2072.79	2085.12	2055.21	2085.12	+14.33	0.69	1.44	1244879600	14376826000	
2000-11-15,三	2087.28	2092.65	2074.38	2081.91	-3.21	-0.15	0.876	1333426200	14338161000	
2000-11-16,四	2081.14	2096.05	2080.61	2095.98	+14.07	0.68	0.742	1310777600	14983268000	
2000-11-17,五	2098.89	2104.69	2084.90	2093.23	-2.75	-0.13	0.944	1180362000	13085711300	
2000-11-20,一	2092.59	2101.40	2078.28	2101.39	+8.16	0.39	1.10	1310296600	13467538000	
2000-11-21,二	2104.07	2112.91	2095.58	2097.98	-3.41	-0.16	0.825	1247971400	12041539300	
2000-11-22,三	2097.28	2113.35	2091.62	2113.30	+15.32	0.73	1.04	1214669700	12051088700	
2000-11-23,四	2119.16	2125.71	2109.21	2119.44	+6.14	0.29	0.781	1249216700	14288672000	
2000-11-24,五	2119.01	2125.41	2045.51	2053.37	-66.07	-3.12	3.77	1649778700	16602799000	
2000-11-27,一	2041.16	2062.81	2031.93	2049.67	-3.70	-0.18	1.50	1058785300	11467955100	
2000-11-28,二	2052.78	2079.48	2052.78	2079.40	+29.73	1.45	1.30	858910800	9261743700	
2000-11-29,三	2081.50	2082.90	2055.94	2067.48	-11.92	-0.57	1.30	994362000	10754439800	
2000-11-30,四	2067.07	2072.29	2057.04	2070.61	+3.13	0.15	0.738	876192600	9115262300	
2000-12-01,五	2073.09	2082.03	2071.48	2081.84	+11.23	0.54	0.510	1228528800	8622493700	
2000-12-04,一	2084.48	2092.32	2077.81	2092.14	+10.30	0.49	0.697	1423006000	9442143200	
2000-12-05,二	2094.98	2097.29	2085.80	2091.67	-0.47	-0.02	0.549	1389585800	8833567200	
2000-12-06,三	2093.00	2095.44	2070.35	2075.63	-16.04	-0.77	1.20	1138601900	10794542900	
2000-12-07,四	2072.53	2078.14	2060.73	2075.04	-0.59	-0.03	0.839	968785400	10197656100	
2000-12-08,五	2074.57	2083.27	2069.66	2073.16	-1.88	-0.09	0.656	1158322800	10305751000	
2000-12-11,一	2072.28	2072.48	2039.00	2046.08	-27.08	-1.31	1.61	1199054300	9100692000	
2000-12-12,二	2045.17	2059.05	2037.90	2059.05	+12.97	0.63	1.03	1099183100	9456604700	
2000-12-13,三	2057.38	2059.60	2050.17	2056.12	-2.93	-0.14	0.458	938610500	8631890200	
2000-12-14,四	2057.00	2059.27	2046.94	2051.08	-5.04	-0.25	0.600	1419292000	6874509900	
2000-12-15,五	2052.79	2055.61	2036.88	2039.36	-11.72	-0.57	0.913	1320871100	7922513700	
2000-12-18,一	2038.45	2044.56	2024.29	2044.55	+5.19	0.25	0.994	1126519600	9212166300	
2000-12-19,二	2047.35	2056.76	2046.03	2049.03	+4.48	0.22	0.525	1136818100	10994977000	
2000-12-20,三	2050.07	2071.31	2048.64	2071.27	+22.24	1.09	1.11	1192315200	11135318400	
2000-12-21,四	2075.56	2086.94	2074.34	2076.89	+5.62	0.27	0.608	1249834500	12452922800	
2000-12-22,五	2078.42	2079.96	2066.21	2069.77	-7.12	-0.34	0.662	1203296500	12617511500	
2000-12-25,一	2071.57	2075.21	2062.04	2068.17	-1.60	-0.08	0.636	1208195800	11965238300	
2000-12-26,二	2070.38	2076.41	2068.81	2076.27	+8.10	0.39	0.367	1042855400	10872508500	
2000-12-27,三	2077.71	2079.76	2056.00	2058.23	-18.04	-0.87	1.14	1176163800	11810701300	
2000-12-28,四	2054.52	2061.05	2047.74	2053.69	-4.54	-0.22	0.647	1385495400	11352368200	
2000-12-29,五	2055.83	2073.88	2055.51	2073.48	+19.79	0.96	0.894	1407592600	11666403700	
2001-01-02,二	2077.08	2103.54	2074.88	2103.46	+29.98	1.45	1.38	1865074200	13405094700	
2001-01-03,三	2108.25	2123.90	2105.50	2123.90	+20.44	0.97	0.875	1715767100	17516832000	
2001-01-04,四	2125.48	2127.42	2113.17	2117.41	-6.49	-0.31	0.671	1342503800	14295245000	
2001-01-05,五	2117.66	2125.38	2114.06	2125.30	+7.89	0.37	0.535	1328902200	14844236000	
2001-01-08,一	2128.60	2131.98	2092.10	2102.06	-23.24	-1.09	1.88	1478709100	15887661000	
2001-01-09,二	2099.32	2111.10	2082.84	2101.14	-0.92	-0.04	1.34	1164936400	11581766600	
2001-01-10,三	2102.09	2125.67	2102.07	2125.61	+24.47	1.16	1.12	1291703000	13026253400	
2001-01-11,四	2129.61	2131.37	2117.03	2119.14	-6.47	-0.30	0.675	1407219900	14615713000	
2001-01-12,五	2116.85	2117.73	2100.27	2104.75	-14.39	-0.68	0.824	1066088000	11017289300	
2001-01-15,一	2097.09	2097.09	2030.29	2032.44	-72.31	-3.44	3.17	1500461500	13412559200	
2001-01-16,二	2018.30	2045.95	2007.71	2045.89	+13.45	0.66	1.88	1158421800	10405910700	
2001-01-17,三	2046.38	2048.69	2031.76	2034.58	-11.31	-0.55	0.828	732413400	6609475900	
2001-01-18,四	2033.69	2049.36	2033.58	2043.11	+8.53	0.42	0.776	1034157000	8381612800	
2001-01-19,五	2046.58	2067.88	2046.54	2065.61	+22.50	1.10	1.04	1183125600	8601583100	
2001-02-05,一	2069.86	2072.55	2005.68	2008.03	-57.58	-2.79	3.24	897424500	7400294400	
2001-02-06,二	1999.72	1999.72	1956.18	1995.32	-12.71	-0.63	2.17	953057600	7974362100	
2001-02-07,三	1995.60	1998.25	1978.60	1979.94	-15.38	-0.77	0.985	588223100	5171535500	
2001-02-08,四	1977.56	1986.90	1926.40	1930.14	-49.80	-2.52	3.06	888574100	7517260400	
2001-02-09,五	1935.19	1963.33	1935.19	1956.97	+26.83	1.39	1.46	1123753500	7748484000	
2001-02-12,一	1958.66	1961.81	1935.59	1961.22	+4.25	0.22	1.34	720307100	6524706300	
2001-02-13,二	1962.53	1974.00	1958.99	1963.53	+2.31	0.12	0.765	540351200	5135049500	
2001-02-14,三	1962.74	1966.84	1956.42	1963.20	-0.33	-0.02	0.531	438215100	4177529100	
2001-02-15,四	1963.45	1966.92	1944.56	1946.48	-16.72	-0.85	1.14	450675500	4262383200	
2001-02-16,五	1942.05	1942.12	1911.87	1941.96	-4.52	-0.23	1.55	675021000	6112809400	
2001-02-19,一	1942.58	1969.35	1935.65	1967.55	+25.59	1.32	1.74	584608300	5220087900	
2001-02-20,二	1969.78	1980.39	1947.26	1953.22	-14.33	-0.73	1.68	643593900	6328305400	
2001-02-21,三	1948.42	1948.42	1901.20	1909.33	-43.89	-2.25	2.42	761781600	7402122500	
2001-02-22,四	1901.99	1922.46	1893.78	1907.26	-2.07	-0.11	1.50	505473300	5184099900	
2001-02-23,五	1906.91	1936.63	1906.55	1936.35	+29.09	1.53	1.58	620974400	5555908900	
2001-02-26,一	1940.77	1954.78	1935.55	1954.69	+18.34	0.95	0.993	762434500	6871463800	
2001-02-27,二	1956.27	1962.28	1946.98	1962.04	+7.35	0.38	0.783	739859500	6572695400	
2001-02-28,三	1964.36	1965.02	1950.93	1959.18	-2.86	-0.15	0.718	615176300	6674842000	
2001-03-01,四	1959.01	1968.36	1953.72	1965.12	+5.94	0.30	0.747	1166736900	7958979700	
2001-03-02,五	1969.06	1987.39	1968.96	1985.11	+19.99	1.02	0.938	1516767300	7911483300	
2001-03-05,一	1991.28	1993.81	1979.65	1984.20	-0.91	-0.05	0.713	1073537300	7417398200	
2001-03-06,二	1986.73	1990.06	1977.11	1990.06	+5.86	0.30	0.653	2087862500	14083043000	
2001-03-07,三	1991.28	1996.85	1986.04	1991.18	+1.12	0.06	0.543	1389331500	10411173900	
2001-03-08,四	1990.64	2002.25	1989.87	2000.90	+9.72	0.49	0.622	1149140400	9116276600	
2001-03-09,五	2003.20	2015.50	1999.48	2011.66	+10.76	0.54	0.801	1568555400	12913043000	
2001-03-12,一	2013.31	2015.60	2004.96	2012.55	+0.89	0.04	0.529	1233430600	10696975700	
2001-03-13,二	2012.16	2012.77	1992.17	1998.70	-13.85	-0.69	1.02	1387833500	10681301500	
2001-03-14,三	1996.15	2018.62	1994.94	2018.62	+19.92	1.00	1.18	1070414400	9090213300	
2001-03-15,四	2019.72	2027.33	2017.59	2022.60	+3.98	0.20	0.483	1375971800	11542905200	
2001-03-16,五	2023.03	2024.28	2011.99	2020.24	-2.36	-0.12	0.608	1238702600	10272257500	
2001-03-19,一	2019.85	2036.63	2017.49	2036.62	+16.38	0.81	0.947	1395630700	11601354700	
2001-03-20,二	2039.55	2045.94	2037.17	2045.79	+9.17	0.45	0.431	1248076100	11586387400	
2001-03-21,三	2047.63	2066.39	2046.43	2066.39	+20.60	1.01	0.976	1964823600	12963828200	
2001-03-22,四	2071.19	2087.53	2068.14	2087.53	+21.14	1.02	0.938	2362230600	17676007000	
2001-03-23,五	2091.17	2093.94	2052.55	2053.54	-33.99	-1.63	1.98	2430458300	18580195000	
2001-03-26,一	2052.05	2089.98	2052.05	2089.88	+36.34	1.77	1.85	2131789800	14310990000	
2001-03-27,二	2096.50	2107.30	2090.90	2107.26	+17.38	0.83	0.785	1798519200	15898231000	
2001-03-28,三	2109.76	2112.88	2096.92	2106.87	-0.39	-0.02	0.757	1571755500	15209667000	
2001-03-29,四	2107.21	2111.73	2096.92	2101.66	-5.21	-0.25	0.703	1553779500	15283496000	
2001-03-30,五	2101.10	2112.83	2096.28	2112.78	+11.12	0.53	0.787	2440098500	13560668000	
2001-04-02,一	2117.44	2126.96	2114.78	2125.08	+12.30	0.58	0.576	2373936400	15302089000	
2001-04-03,二	2127.78	2129.83	2109.25	2123.05	-2.03	-0.10	0.968	2060855000	12823849300	
2001-04-04,三	2123.89	2128.16	2084.92	2090.71	-32.34	-1.52	2.04	2081370200	14766596000	
2001-04-05,四	2084.81	2112.62	2081.64	2112.60	+21.89	1.05	1.48	2306310500	11267333500	
2001-04-06,五	2116.38	2122.21	2103.26	2108.61	-3.99	-0.19	0.897	3741649700	10596703300	
2001-04-09,一	2108.96	2117.41	2100.96	2117.37	+8.76	0.42	0.780	2588238100	11780114400	
2001-04-10,二	2119.54	2128.55	2119.36	2128.48	+11.11	0.52	0.434	2076244300	10866473100	
2001-04-11,三	2130.90	2134.51	2121.16	2131.40	+2.92	0.14	0.627	1532367300	11560119500	
2001-04-12,四	2132.81	2141.92	2124.82	2134.80	+3.40	0.16	0.802	1939952700	17650622000	
2001-04-13,五	2135.67	2145.44	2130.59	2145.40	+10.60	0.50	0.696	1874718700	13652048000	
2001-04-16,一	2150.29	2168.08	2150.29	2168.06	+22.66	1.06	0.829	3151183700	19551496000	
2001-04-17,二	2173.30	2177.16	2163.19	2176.67	+8.61	0.40	0.644	2855257600	20671818000	
2001-04-18,三	2177.98	2179.73	2167.59	2172.56	-4.11	-0.19	0.558	2212948900	18518058000	
2001-04-19,四	2172.42	2175.57	2148.31	2172.87	+0.31	0.01	1.25	2454632700	19874416000	
2001-04-20,五	2173.96	2179.57	2152.01	2152.34	-20.53	-0.94	1.27	2281269400	21906310000	
2001-04-23,一	2150.34	2157.51	2132.55	2150.42	-1.92	-0.09	1.16	2182938400	18665045000	
2001-04-24,二	2151.34	2166.19	2151.34	2166.17	+15.75	0.73	0.691	1352067700	14266589000	
2001-04-25,三	2168.05	2170.39	2115.26	2119.17	-47.00	-2.17	2.55	1819535800	17711213000	
2001-04-26,四	2113.39	2125.79	2102.82	2105.06	-14.11	-0.67	1.08	1329118300	13482611000	
2001-04-27,五	2104.03	2120.84	2104.03	2115.11	+10.05	0.48	0.799	1363028400	10974030200	
2001-04-30,一	2117.17	2122.50	2111.94	2119.17	+4.06	0.19	0.499	1091178000	10497143900	
2001-05-08,二	2119.90	2138.04	2119.89	2137.98	+18.81	0.89	0.856	848195800	8704695600	
2001-05-09,三	2140.55	2142.38	2127.32	2132.89	-5.09	-0.24	0.704	972153100	10453425200	
2001-05-10,四	2134.19	2147.34	2134.19	2147.28	+14.39	0.67	0.617	985055600	11162464300	
2001-05-11,五	2150.32	2155.42	2144.76	2155.41	+8.13	0.38	0.496	1381096000	10971413000	
2001-05-14,一	2161.61	2178.69	2160.12	2178.46	+23.05	1.07	0.862	2525367800	16209586000	
2001-05-15,二	2184.79	2191.07	2176.79	2191.06	+12.60	0.58	0.656	2465860200	17346849000	
2001-05-16,三	2195.36	2199.54	2187.41	2199.51	+8.45	0.39	0.554	1894789500	17561127000	
2001-05-17,四	2201.98	2205.01	2187.84	2194.65	-4.86	-0.22	0.781	2791296700	16880669000	
2001-05-18,五	2194.62	2203.37	2186.65	2203.37	+8.72	0.40	0.762	3200146600	17431723000	
2001-05-21,一	2207.78	2213.75	2202.73	2213.59	+10.22	0.46	0.500	3366582100	19288406000	
2001-05-22,二	2215.78	2218.44	2205.25	2210.34	-3.25	-0.15	0.596	1525524600	14681261000	
2001-05-23,三	2210.85	2213.40	2175.28	2197.59	-12.75	-0.58	1.72	2026319200	17438179000	
2001-05-24,四	2198.01	2202.84	2192.17	2198.30	+0.71	0.03	0.486	1433455600	15475624000	
2001-05-25,五	2199.66	2204.23	2181.25	2193.58	-4.72	-0.21	1.05	1358175100	13727022000	
2001-05-28,一	2194.44	2194.83	2171.67	2179.69	-13.89	-0.63	1.06	1494715100	15291972000	
2001-05-29,二	2177.65	2188.76	2176.56	2180.28	+0.59	0.03	0.560	1207288500	13221503200	
2001-05-30,三	2180.62	2211.19	2180.53	2211.19	+30.91	1.42	1.41	1903189300	14402927000	
2001-05-31,四	2217.87	2222.65	2208.88	2214.26	+3.07	0.14	0.623	1857883200	16855249000	
2001-06-01,五	2216.56	2223.26	2212.16	2219.59	+5.33	0.24	0.501	1781345400	17420038000	
2001-06-04,一	2223.91	2229.05	2222.23	2226.78	+7.19	0.32	0.307	2564095600	18297349000	
2001-06-05,二	2229.25	2235.50	2226.82	2234.98	+8.20	0.37	0.390	2403972100	16845995000	
2001-06-06,三	2237.98	2241.09	2224.30	2238.50	+3.52	0.16	0.751	1687836500	17074328000	
2001-06-07,四	2241.01	2242.69	2223.41	2229.81	-8.69	-0.39	0.861	1540489000	14376232000	
2001-06-08,五	2229.19	2229.41	2211.75	2223.07	-6.74	-0.30	0.792	1512061100	14007784000	
2001-06-11,一	2223.80	2226.61	2206.64	2214.62	-8.45	-0.38	0.898	1532369800	13600023000	
2001-06-12,二	2213.55	2223.30	2211.86	2222.96	+8.34	0.38	0.517	1382717100	14480012000	
2001-06-13,三	2227.07	2242.42	2226.88	2242.42	+19.46	0.88	0.699	1394855200	15797215000	
2001-06-14,四	2243.30	2245.42	2201.01	2202.40	-40.02	-1.78	1.98	1790118400	17930530000	
2001-06-15,五	2196.67	2212.09	2188.25	2210.96	+8.56	0.39	1.08	1464923300	15446384000	
2001-06-18,一	2211.89	2214.11	2157.12	2167.65	-43.31	-1.96	2.58	1726433600	15957379000	
2001-06-19,二	2163.32	2174.21	2158.76	2170.44	+2.79	0.13	0.713	916233300	10325506800	
2001-06-20,三	2171.01	2180.73	2157.40	2163.12	-7.32	-0.34	1.07	806751800	8642624300	
2001-06-21,四	2164.12	2189.21	2164.09	2189.15	+26.03	1.20	1.16	1092684600	8041819700	
2001-06-22,五	2191.36	2206.51	2188.94	2206.07	+16.92	0.77	0.803	1227533200	10375097600	
2001-06-25,一	2210.07	2230.21	2210.04	2230.19	+24.12	1.09	0.914	1471550200	14482370000	
2001-06-26,二	2234.07	2236.78	2223.50	2233.59	+3.40	0.15	0.595	1602082400	16215559000	
2001-06-27,三	2234.71	2237.52	2223.81	2229.83	-3.76	-0.17	0.614	1235156000	13143927700	
